rating_group,roa,roe,de_ratio,icr,size,nwcta,ebit_m,ebitda_m
medium,6.95,13.07,2.19,3.11,"459,514.17",0.0154,26.07,29.64
medium,5.92,11.01,2.08,3.02,"418,171.96",0.0440,24.30,29.63
medium,4.97,9.55,2.37,2.70,"362,673.85",0.0105,30.23,40.21
medium,5.22,8.36,2.41,2.71,"245,580.51",0.0029,29.72,40.00
spec,0.74,-3.64,2.12,0.55,"18,838.42",-0.0562,13.72,26.03
low,0.55,-0.56,2.07,0.18,"19,864.60",-0.0078,4.18,14.92
low,1.10,-2.83,1.94,0.43,"19,040.52",-0.0392,5.99,14.64
low,2.13,-0.05,1.71,0.97,"17,985.25",0.0718,11.59,19.58
spec,0.69,-0.92,0.69,0.48,"10,212.30",-0.0128,5.67,26.18
low,5.00,6.75,1.07,2.46,"7,308.29",0.2564,4.05,14.30
low,5.45,7.45,1.10,6.05,"7,470.91",0.2312,7.55,15.45
low,1.80,1.82,1.12,2.60,"7,144.40",0.2003,2.73,11.02
low,-3.21,-8.05,1.11,-3.56,"6,971.75",0.2587,-4.79,13.54
low,3.16,1.06,4.57,1.18,"45,654.32",0.1699,13.23,21.55
low,2.84,0.51,4.55,1.24,"45,042.68",0.1456,10.84,19.38
low,2.27,0.35,4.13,1.04,"41,361.76",0.1324,7.72,19.12
low,3.34,2.72,3.17,1.41,"33,562.99",0.1179,10.18,20.95
spec,2.58,2.60,2.65,0.34,"52,958.15",0.1444,5.18,10.84
spec,1.27,0.19,2.41,0.42,"54,348.37",0.2120,5.85,11.41
spec,2.27,4.33,2.83,0.82,"52,023.40",0.2383,10.29,17.92
spec,-1.09,-8.26,2.83,-0.46,"53,389.60",0.2144,-4.88,3.72
spec,6.48,6.06,0.88,7.13,"3,122.43",-0.0112,7.21,12.66
spec,2.87,1.94,0.84,3.46,"2,880.66",-0.0199,3.23,10.01
spec,2.80,1.83,0.80,2.94,"2,833.37",-0.0364,3.35,10.87
spec,4.64,6.33,0.92,4.29,"2,855.53",0.0307,5.42,11.86
spec,6.64,7.64,1.12,2.87,"10,574.77",0.0476,25.52,29.49
spec,1.39,-6.40,1.37,0.53,"11,026.52",-0.0814,7.08,14.15
spec,0.68,-6.71,1.27,0.32,"10,930.75",0.0242,3.79,11.56
spec,2.13,-3.10,1.23,0.86,"11,218.13",0.1242,9.87,16.55
low,5.14,9.37,2.37,2.51,"21,505.12",0.0349,61.13,89.98
low,5.31,11.32,2.18,3.25,"20,510.04",-0.0435,80.45,105.73
low,4.32,8.03,2.10,2.48,"19,706.92",-0.0840,54.76,82.83
low,4.34,7.03,2.24,2.23,"19,176.78",-0.0728,49.24,76.68
high,13.27,15.37,0.49,33.21,"139,892.52",0.0183,18.48,24.24
high,12.68,14.51,0.51,27.08,"141,542.86",0.0507,18.39,24.78
high,8.56,9.24,0.46,15.54,"128,453.62",0.0665,14.94,23.28
high,8.36,8.40,0.49,12.94,"136,050.25",0.1381,16.31,25.59
high,13.45,27.61,1.64,15.70,"63,161.47",-0.0544,11.54,16.22
high,13.07,26.38,1.69,18.19,"65,184.74",-0.0469,11.66,16.20
high,12.28,24.48,1.56,16.95,"58,586.35",-0.0271,11.02,16.04
high,12.30,24.14,1.60,14.49,"56,090.77",-0.0852,10.76,15.92
low,4.39,4.37,0.54,2.77,"9,274.88",0.3998,6.84,44.10
low,8.43,9.76,0.54,7.40,"9,616.86",0.4097,16.32,53.46
low,10.98,13.13,0.67,11.27,"10,323.30",0.1814,19.01,54.81
low,-0.86,-3.88,0.76,-0.77,"9,518.87",0.3226,-1.51,35.18
high,17.00,15.87,0.81,14.71,"902,820.93",0.1619,48.04,73.97
high,18.32,16.07,0.86,18.42,"869,864.32",0.0945,44.55,69.01
high,11.91,10.10,0.89,13.42,"783,535.67",0.0448,37.02,66.98
high,7.34,6.37,0.91,6.21,"675,637.10",0.1428,29.64,68.81
medium,6.46,12.27,1.66,5.18,"129,511.46",0.2396,26.90,33.72
medium,8.74,16.38,1.37,10.32,"123,948.76",0.2466,29.84,34.40
medium,7.53,13.89,1.47,8.39,"125,198.06",0.2583,28.25,32.84
medium,7.83,13.96,1.42,10.39,"122,571.06",0.3122,29.79,32.87
low,0.50,-9.95,5.03,-0.21,"26,866.74",-0.0667,-1.86,13.38
low,-0.28,-13.54,4.20,-0.14,"26,229.17",-0.0937,-1.48,18.20
low,-2.33,-27.97,5.11,-1.13,"23,784.10",-0.0832,-19.95,15.38
low,-3.49,-24.68,4.26,-1.50,"21,860.60",-0.1282,-20.22,9.01
low,7.15,10.63,1.28,3.95,"33,655.42",0.0355,33.28,45.63
low,11.17,22.14,1.29,4.83,"32,331.46",0.0747,55.24,72.59
low,7.70,17.50,2.20,3.51,"42,485.35",-0.0350,34.55,50.18
low,10.48,29.59,2.69,4.89,"46,032.16",-0.0261,49.53,64.58
medium,2.38,-1.43,2.24,0.79,"910,181.16",-0.0632,3.34,8.86
medium,4.61,5.93,2.09,2.00,"926,987.18",-0.0364,6.59,11.79
medium,4.15,6.40,1.93,2.01,"842,680.62",0.0150,6.44,12.03
medium,10.30,14.45,1.91,4.28,"761,719.09",-0.0124,12.09,16.85
medium,4.50,15.70,2.04,2.45,"900,253.75",-0.1081,4.51,8.52
medium,3.98,12.96,2.18,2.19,"924,061.49",-0.0633,4.33,8.62
medium,12.93,3.47,2.18,1.99,"931,892.56",-0.0527,4.30,8.47
medium,16.91,6.18,3.69,3.26,"523,354.33",-0.0802,5.09,8.87
low,6.54,7.03,1.42,2.69,"9,608.07",0.0107,22.01,34.68
low,5.39,5.84,1.36,2.53,"9,258.31",0.0182,18.35,31.63
low,5.05,4.63,1.54,2.84,"9,526.68",0.0292,18.57,32.81
low,6.23,8.70,1.14,5.86,"8,688.26",-0.0886,28.72,41.16
low,4.36,-0.54,0.87,1.53,"60,788.69",0.0199,11.02,16.20
low,7.40,9.91,0.80,5.27,"55,401.15",0.1563,25.26,29.83
